phonemes;phoneme_onset;phoneme_offset;words;word_onset;word_offset;cohort_entropy;cohort_surprisal;word_freq
d;2.57;2.64;De;2.57;2.7;4.483571098705468;3.345837716499959;5.322176977655901
@;2.64;2.7;De;2.57;2.7;0.22678006925983496;7.532001194857413;5.322176977655901
r;2.7;2.76;Ransel;2.7;3.26;4.483571098705468;6.700963487018851;20.69554828794628
A;2.76;2.85;Ransel;2.7;3.26;0.0734915346894421;4.369555486098489;20.69554828794628
n;2.85;2.91;Ransel;2.7;3.26;0.00554033257438301;2.961532585932442;20.69554828794628
s;2.91;3.07;Ransel;2.7;3.26;0.001515018470505392;4.88834947928385;20.69554828794628
@;3.07;3.1;Ransel;2.7;3.26;0.0008326804036552454;4.1477088638376;20.69554828794628
l;3.1;3.26;Ransel;2.7;3.26;0.0008170875076611606;4.333422723417213;20.69554828794628
h;3.74;3.77;het;3.74;3.89;4.483571098705468;3.9195567556242343;5.312395807632838
E;3.77;3.82;het;3.74;3.89;0.24282588730324137;2.478097582802456;5.312395807632838
t;3.82;3.89;het;3.74;3.89;0.04875971537025275;4.607521235238637;5.312395807632838
h;3.89;3.94;Hoedje;3.89;4.34;4.483571098705468;3.9195567556242343;18.493925398634225
u;3.94;4.08;Hoedje;3.89;4.34;0.24282588730324137;2.4766768434247464;18.493925398634225
t;4.08;4.11;Hoedje;3.89;4.34;0.023971714126660805;7.375214560143833;18.493925398634225
j;4.11;4.21;Hoedje;3.89;4.34;0.0009880441104754049;3.3985102508507024;18.493925398634225
@;4.21;4.28;Hoedje;3.89;4.34;0.0008640286685273685;3.182247509836015;18.493925398634225
n;4.28;4.34;Hoedje;3.89;4.34;0.0008083560737195396;5.303890315791618;18.493925398634225
E;4.71;4.79;en;4.71;4.83;4.483571098705468;4.8694102932972045;6.1170286533150895
n;4.79;4.83;en;4.71;4.83;0.08061988840838588;6.706842395189012;6.1170286533150895
E;4.83;4.9;het;4.83;4.95;4.483571098705468;4.8694102932972045;5.312395807632838
t;4.9;4.95;het;4.83;4.95;0.08061988840838588;8.282216672327007;5.312395807632838
h;4.95;4.98;Hoorntje;4.95;5.5;4.483571098705468;3.9195567556242343;22.169563595986066
o:;4.98;5.17;Hoorntje;4.95;5.5;0.24282588730324137;3.5734475136668262;22.169563595986066
r;5.17;5.24;Hoorntje;4.95;5.5;0.028050885409949853;1.1098318597900743;22.169563595986066
n;5.24;5.3;Hoorntje;4.95;5.5;0.00863378482058471;5.632159991934804;22.169563595986066
