,onset,offset,phones
0,0.0,2.57,<p:>
1,2.57,2.64,d
2,2.64,2.7,@
3,2.7,2.76,r
4,2.76,2.85,A
5,2.85,2.91,n
6,2.91,3.07,s
7,3.07,3.1,@
8,3.1,3.26,l
9,3.26,3.74,<p:>
10,3.74,3.77,h
11,3.77,3.82,E
12,3.82,3.89,t
13,3.89,3.94,h
14,3.94,4.08,u
15,4.08,4.11,t
16,4.11,4.21,j
17,4.21,4.28,@
18,4.28,4.34,n
19,4.34,4.71,<p:>
20,4.71,4.79,E
21,4.79,4.83,n
22,4.83,4.9,E
23,4.9,4.95,t
24,4.95,4.98,h
25,4.98,5.17,o:
26,5.17,5.24,r
27,5.24,5.3,n
28,5.3,5.38,t
29,5.38,5.43,j
30,5.43,5.5,@
31,5.5,7.47,<p:>
32,7.47,7.54,E
33,7.54,7.6,r
34,7.6,7.63,w
35,7.63,7.77,a:
36,7.77,7.8,r
37,7.8,7.89,@
38,7.89,7.96,e:
39,7.96,7.99,n
40,7.99,8.07,s
41,8.07,8.14,d
42,8.14,8.17,r
43,8.17,8.35,i
44,8.35,8.39,b
45,8.39,8.45,r
46,8.45,8.65,u
47,8.65,8.7,r
48,8.7,8.9,s
49,8.9,9.24,<p:>
50,9.24,9.28,t
51,9.28,9.36,i
52,9.36,9.44,l
53,9.44,9.49,A
54,9.49,9.56,N
55,9.56,9.69,s
56,9.69,9.74,a:
57,9.74,9.81,m
58,9.81,9.84,@
59,9.84,9.87,r
60,9.87,9.92,h
61,9.92,9.97,A
62,9.97,10.04,n
63,10.04,10.09,t
64,10.09,10.12,t
65,10.12,10.17,O
66,10.17,10.21,t
67,10.21,10.37,A
68,10.37,10.41,r
69,10.41,10.45,@
70,10.45,10.53,m
71,10.53,10.62,u
72,10.62,10.67,d
73,10.67,10.71,@
74,10.71,10.75,w
75,10.75,10.88,a:
76,10.88,10.91,r
77,10.91,10.96,@
78,10.96,11.04,v
79,11.04,11.07,@
80,11.07,11.1,r
81,11.1,11.2,f
82,11.2,11.29,A
83,11.29,11.32,l
84,11.32,11.4,@
85,11.4,12.59,<p:>
86,12.59,12.71,Ei
87,12.71,12.76,n
88,12.76,12.79,d
89,12.79,12.85,l
90,12.85,12.92,@
91,12.92,12.95,k
92,12.95,12.98,w
93,12.98,13.04,A
94,13.04,13.16,s
95,13.16,13.2,@
96,13.2,13.27,n
97,13.27,13.43,o:
98,13.43,13.49,t
99,13.49,13.61,s
100,13.61,13.82,o:
101,13.82,13.85,h
102,13.85,13.98,o:
103,13.98,14.04,x
104,14.04,14.07,x
105,14.07,14.1,E
106,14.1,14.22,s
107,14.22,14.28,t
108,14.28,14.45,e:
109,14.45,14.57,G
110,14.57,14.67,@
111,14.67,15.05,<p:>
112,15.05,15.13,t
113,15.13,15.19,A
114,15.19,15.24,t
115,15.24,15.29,z
116,15.29,15.33,Ei
117,15.33,15.44,n
118,15.44,15.54,i
119,15.54,15.58,t
120,15.58,15.66,s
121,15.66,15.7,m
122,15.7,15.83,e:
123,15.83,15.88,t
124,15.88,15.91,@
125,15.91,16.15,e:
126,16.15,16.22,t
127,16.22,16.26,@
128,16.26,16.34,h
129,16.34,16.44,A
130,16.44,16.48,d
131,16.48,16.57,@
132,16.57,16.84,<p:>
133,16.84,16.92,E
134,16.92,16.95,n
135,16.95,16.98,h
136,16.98,17.08,O
137,17.08,17.15,N
138,17.15,17.2,@
139,17.2,17.23,r
140,17.23,17.26,m
141,17.26,17.34,u
142,17.34,17.41,s
143,17.41,17.48,t
144,17.48,17.52,@
145,17.52,17.57,l
146,17.57,17.77,Ei
147,17.77,17.8,d
148,17.8,17.92,@
149,17.92,18.81,<p:>
150,18.81,18.88,t
151,18.88,18.91,Y
152,18.91,18.94,n
153,18.94,19.04,z
154,19.04,19.18,Ei
155,19.18,19.21,d
156,19.21,19.24,@
157,19.24,19.34,z
158,19.34,19.57,Ei
159,19.57,20.17,<p:>
160,20.17,20.3,z
161,20.3,20.43,o:
162,20.43,20.5,k
163,20.5,20.54,A
164,20.54,20.59,n
165,20.59,20.63,@
166,20.63,20.66,t
167,20.66,20.69,n
168,20.69,20.76,i
169,20.76,20.79,d
170,20.79,20.84,b
171,20.84,20.88,l
172,20.88,21.1,Ei
173,21.1,21.19,f
174,21.19,21.27,@
175,21.27,21.65,<p:>
176,21.65,21.68,w
177,21.68,21.8,Ei
178,21.8,21.93,s
179,21.93,21.98,Y
180,21.98,22.01,l
181,22.01,22.1,@
182,22.1,22.14,d
183,22.14,22.2,@
184,22.2,22.25,w
185,22.25,22.37,e:
186,22.37,22.41,r
187,22.41,22.44,@
188,22.44,22.5,l
189,22.5,22.56,t
190,22.56,22.65,I
191,22.65,22.73,m
192,22.73,22.76,m
193,22.76,22.86,u
194,22.86,22.99,t
195,22.99,23.05,@
196,23.05,23.49,<p:>
197,23.49,23.6,E
198,23.6,23.64,O
199,23.64,23.67,n
200,23.67,23.75,s
201,23.75,23.81,x
202,23.81,23.88,@
203,23.88,23.91,l
204,23.91,23.98,Y
205,23.98,24.04,k
206,24.04,24.12,s
207,24.12,24.23,u
208,24.23,24.31,k
209,24.31,24.41,@
210,24.41,25.17,<p:>
211,25.17,25.24,E
212,25.24,25.34,z
213,25.34,25.38,Ei
214,25.38,25.48,t
215,25.48,25.51,r
216,25.51,25.56,O
217,25.56,25.66,k
218,25.66,25.69,@
219,25.69,25.76,w
220,25.76,25.83,E
221,25.83,26.09,x
222,26.09,28.0,<p:>
223,28.0,28.1,O
224,28.1,28.13,p
225,28.13,28.29,f
226,28.29,28.38,E
227,28.38,28.42,r
228,28.42,28.51,@
229,28.51,28.55,w
230,28.55,28.69,e:
231,28.69,28.78,G
232,28.78,28.85,@
233,28.85,28.9,w
234,28.9,29.03,a:
235,29.03,29.06,r
236,29.06,29.1,@
237,29.1,29.2,z
238,29.2,29.24,Ei
239,29.24,29.3,A
240,29.3,29.36,l
241,29.36,29.43,G
242,29.43,29.46,@
243,29.46,29.61,G
244,29.61,29.76,a:
245,29.76,29.86,m
246,29.86,30.2,<p:>
247,30.2,30.3,E
248,30.3,30.43,f
249,30.43,30.51,e:
250,30.51,30.56,l
251,30.56,30.69,x
252,30.69,30.73,r
253,30.73,30.82,A
254,30.82,30.95,s
255,30.95,31.0,p
256,31.0,31.04,r
257,31.04,31.17,i
258,31.17,31.21,t
259,31.21,31.26,j
260,31.26,31.29,@
261,31.29,31.4,s
262,31.4,31.47,h
263,31.47,31.53,A
264,31.53,31.56,d
265,31.56,31.59,@
266,31.59,31.68,z
267,31.68,31.72,Ei
268,31.72,31.79,A
269,31.79,31.83,l
270,31.83,31.94,p
271,31.94,31.97,l
272,31.97,32.05,A
273,32.05,32.1,t
274,32.1,32.19,x
275,32.19,32.23,@
276,32.23,32.32,t
277,32.32,32.39,r
278,32.39,32.56,e:
279,32.56,32.61,d
280,32.61,32.7,@
281,32.7,33.16,<p:>
282,33.16,33.22,m
283,33.22,33.3,a:
284,33.3,33.35,@
285,33.35,33.41,t
286,33.41,33.51,x
287,33.51,33.55,@
288,33.55,33.62,l
289,33.62,33.71,Y
290,33.71,33.81,k
291,33.81,33.89,h
292,33.89,33.92,A
293,33.92,33.96,d
294,33.96,33.99,@
295,33.99,34.1,z
296,34.1,34.2,Ei
297,34.2,34.23,n
298,34.23,34.27,O
299,34.27,34.31,G
300,34.31,34.38,n
301,34.38,34.46,i
302,34.46,34.52,t
303,34.52,34.57,O
304,34.57,34.61,n
305,34.61,34.64,t
306,34.64,34.71,m
307,34.71,34.82,u
308,34.82,34.94,t
309,34.94,36.13,<p:>
310,36.13,36.24,O
311,36.24,36.29,b
312,36.29,36.32,@
313,36.32,36.38,N
314,36.38,36.42,d
315,36.42,36.49,A
316,36.49,36.52,x
317,36.52,36.62,x
318,36.62,36.7,@
319,36.7,36.74,b
320,36.74,36.88,2:
321,36.88,36.92,r
322,36.92,36.95,d
323,36.95,36.99,@
324,36.99,37.03,h
325,37.03,37.1,@
326,37.1,37.18,t
327,37.18,37.56,<p:>
328,37.56,37.61,d
329,37.61,37.67,A
330,37.67,37.72,t
331,37.72,37.78,s
332,37.78,37.84,Ei
333,37.84,37.87,I
334,37.87,37.93,n
